june,i
born,się
july,w
november,listopada
march,jego
january,co
february,kiedy
12,marca
14,marca
15,czerwca
20,ojciec
on,na
present,w
21,czerwca
24,marca
holland,i
13,lub
2,2
5,maja
6,marca
9,maja
16,marca
23,marca
27,do
30,stycznia
stretch,czerwca
1942,1942
in,w
date,nie
life,nie
middle,tego
the,i
i,nie
to,się
and,i
don't,nie
was,się
always,i
since,ponieważ
a,i
conclusion,w
two,w
all,się
that,że
have,się
you,nie
cute,mam
for,na
not,nie
when,kiedy
fresh,i
got,się
with,z
do,to
am,i
no,nie
want,się
still,nie
my,i
understand,nie
spite,że
get,się
often,o
of,i
had,się
i'm,nie
be,nie
,i
just,po
one,nie
whenever,do
thing,na
yet,nie
keep,się
but,ale
what,co
though,nie
wrong,się
quiet,i
me,i
admire,i
yesterday,i
sometimes,się
love,i
some,i
write,do
should,nie
there's,nie
seen,nie
i'd,nie
time,w
happy,w
really,nie
can,że
mean,na
shall,a
hope,że
is,jest
by,i
others,nie
answer,nie
which,się
change,się
sedatives,mam
confide,się
welcome,do
given,i
let's,nie
regain,nadzieję
were,nie
so,tak
this,to
hoping,się
very,bardzo
hear,nie
hoped,nadzieję
nature,i
his,i
she,nie
thought,że
it,to
say,że
except,z
thinks,że
think,że
has,nie
he's,jest
i've,się
seems,się
later,i
seem,się
afraid,się
out,i
ignore,że
dummies,że
argued,że
trait,że
much,się
wish,że
realized,że
nervous,i
you're,nie
says,że
ursul,że
at,w
mess,i
said,że
up,się
she'll,się
myself,się
know,że
serious,że
like,jak
course,nie
father,ojciec
many,i
they,nie
meant,to
suspect,że
full,i
hate,nie
split-pea,że
scared,że
silence,że
four,w
without,nie
reality,że
right,w
swore,że
another,w
been,i
trivial,że
assuming,że
surprise,że
explain,że
away,i
protested,że
note,że
discussion,w
hardly,nie
shocking,że
there,nie
he,nie
added,że
because,że
confirming,że
peter,i
butt,że
claimed,że
too,i
telling,w
them,i
illustrates,że
her,i
getting,się
tangled,że
tirade,że
kitchen,w
safety,że
anyone's,że
we're,że
ago,nie
replied,że
mother,i
currently,że
threatening,że
buy,nie
they're,nie
awful,i
gathered,że
more,i
warn,że
seemed,że
sweating,że
bad,że
see,się
loves,mnie
child,na
going,się
english,w
gentlemen,nie
known,że
us,nie
didn't,nie
announced,że
pretext,że
idea,że
astonished,że
delighted,że
go,do
it's,to
matter,nie
repeatedly,że
suspected,że
wished,że
heard,że
made,się
quick,że
fast,się
dirty,że
torment,się
parents,i
their,i
even,nie
make,i
pretend,że
confess,że
suppose,że
sir,że
misfortune,że
she's,jest
suspects,że
coarse,że
introduce,że
despite,się
navy,że
good,i
talking,o
i'll,w
stopped,że
presume,że
fuhrer,że
reported,że
agreed,się
news,że
listen,i
eyes,i
we'll,że
cigarette,że
window,i
while,w
dreary,że
opened,się
stage,że
tell,że
decide,się
carry,że
hard,jest
professed,że
glad,się
told,że
assure,nie
believe,że
into,w
ridiculous,że
idiots,że
shadow,że
we,nie
causes,że
find,to
hopes,że
enjoyed,się
realize,sobie
as,jak
will,i
eye,że
front,się
pretends,nie
unless,się
means,to
noticed,że
miep,miep
warned,że
twice,że
him,że
trouble,się
looks,i
thanking,że
admit,że
decided,nie
you'd,że
might,w
especially,nie
did,się
saying,w
about,o
offer,w
exaggeration,że
must,się
forget,i
embarrassed,że
thinking,o
fats,że
conscience,że
these,to
sweetly,że
furious,jest
lady,na
discover,że
took,się
day,i
found,się
vivid,że
deep,w
clearly,nie
forgot,i
finally,w
after,po
nothing,nie
hurts,że
certain,że
makes,się
wide,że
grief,że
sense,że
pim,i
stairs,i
having,i
also,i
little,się
reason,że
if,nie
suddenly,do
doesn't,nie
convinced,że
quarrels,się
she'd,że
informed,że
tummy,że
felt,się
far,o
every,się
forth,się
knew,że
sure,nie
unstable,że
can’t,że
habit,że
advantage,że
could,się
amazed,że
warm,i
apologized,że
war,nie
would,nie
such,nie
once,i
things,w
tears,i
cries,że
rug,że
swooped,że
both,w
feel,się
forever,i
strong,że
everyone,się
saw,i
open,i
lock,że
upon,że
it'd,się
margot,i
wanted,nie
